seqnames	start	end	width	strand	closest_gene	strand_gene	collision	reassigned	reassigned.to	BM_BM_01	BM_BM_03	BM_BM_06	BM_BM_12	BM_BM_18	BM_BM_24	BM_BM_30	BM_BM_36	B_BM_01	B_BM_03	B_BM_06	B_BM_12	B_BM_18	B_BM_24	B_BM_30	B_BM_36	B_PB_01	B_PB_03	B_PB_06	B_PB_09	B_PB_12	B_PB_18	B_PB_24	B_PB_30	B_PB_36	CD34_BM_00	CD34_BM_01	CD34_BM_03	CD34_BM_06	CD34_BM_12	CD34_BM_18	CD34_BM_24	CD34_BM_30	CD34_BM_36	CFC_BM_01	CFC_BM_03	CFC_BM_06	CFC_BM_12	CFC_BM_18	CFC_BM_24	CFC_BM_30	CFC_PB_03	CFC_PB_06	CFC_PB_09	CFC_PB_12	CFC_PB_18	CFC_PB_24	MNC_BM_24	MNC_BM_30	MNC_BM_36	MNC_PB_24	MNC_PB_30	MNC_PB_36	Myelo_BM_01	Myelo_BM_03	Myelo_BM_06	Myelo_BM_12	Myelo_BM_18	Myelo_BM_24	Myelo_BM_30	Myelo_BM_36	Myelo_PB_01	Myelo_PB_03	Myelo_PB_06	Myelo_PB_09	Myelo_PB_12	Myelo_PB_18	Myelo_PB_24	Myelo_PB_30	Myelo_PB_36	NK_BM_01	NK_BM_03	NK_BM_06	NK_BM_18	NK_BM_24	NK_BM_30	NK_BM_36	NK_PB_01	NK_PB_03	NK_PB_06	NK_PB_09	NK_PB_12	NK_PB_24	NK_PB_30	NK_PB_36	PB_PB_01	PB_PB_03	PB_PB_06	PB_PB_09	PB_PB_12	PB_PB_18	PB_PB_24	PB_PB_30	PB_PB_36	TE_BM_01	TE_BM_03	TE_BM_06	TE_BM_12	TE_BM_18	TE_BM_24	TE_BM_30	T_BM_01	T_BM_03	T_BM_06	T_BM_12	T_BM_24	T_BM_30	T_PB_01	T_PB_03	T_PB_06	T_PB_09	T_PB_12	T_PB_18	T_PB_24	T_PB_30	T_PB_36
chr1	267539	267539	1	+	LOC100133331	+	FALSE	FALSE																																									1																																																																
chr1	846681	846681	1	+	LOC100130417	-	FALSE	FALSE					1		935													1									28										1				717				1			86					3				2													2		3							42		1	8840						1												1			
chr1	1044618	1044618	1	+	C1orf159	-	FALSE	FALSE			3		6																		20				1																																																														1																
chr1	1046215	1046215	1	-	C1orf159	-	FALSE	FALSE					7							2					2			2		2028						3						4					54											136							1		3							2						3		4						71	223		71							6												2			
chr1	1125836	1125836	1	-	TTLL10	+	FALSE	FALSE																																							1											1									1																								20																						
chr1	1156829	1156829	1	-	SDF4	-	FALSE	FALSE					2														7	59						1		2						2																2																																	1												1							1			
chr1	1171320	1171320	1	+	B3GALT6	+	FALSE	FALSE																																																								3																																																	
chr1	1198721	1198721	1	-	UBE2J2	-	FALSE	FALSE										1																																																																																															
chr1	1201098	1201098	1	+	UBE2J2	-	FALSE	FALSE		1																																																														19															4																										
chr1	1214103	1214103	1	-	SCNN1D	+	FALSE	FALSE																									1																																						1																																										
chr1	1258585	1258585	1	-	CPSF3L	-	FALSE	FALSE																								17																																																																																	
chr1	1324936	1324936	1	+	CCNL2	-	FALSE	FALSE																																																																																1																									
chr1	1328849	1328849	1	-	CCNL2	-	FALSE	FALSE																																																																																		15																							
chr1	1329621	1329621	1	-	CCNL2	-	FALSE	FALSE																																															6								1																																	1																	
chr1	1393878	1393878	1	-	ATAD3C	+	FALSE	FALSE						7																																																																																																			
chr1	1414981	1414981	1	+	ATAD3B	+	FALSE	FALSE																								7																																																																																	
chr1	1423469	1423469	1	+	ATAD3B	+	FALSE	FALSE																																																										5																																															
chr1	1456813	1456813	1	+	ATAD3A	+	FALSE	FALSE			1							18																																												1									1																																										
chr1	1457083	1457083	1	-	ATAD3A	+	FALSE	FALSE			80		1																							1											1											58									2	151																						260											1									1			
chr1	1494237	1494237	1	-	SSU72	-	FALSE	FALSE																			37				3				7																																														1																							1026									
chr1	1585880	1585880	1	-	SLC35E2B	-	FALSE	FALSE																																																									1																																											384					
chr1	1699205	1699205	1	+	NADK	-	FALSE	FALSE																																																																																																					19				
chr1	1730120	1730120	1	-	GNB1	-	FALSE	FALSE																																							23																																																																		
chr1	1732823	1732823	1	-	GNB1	-	FALSE	FALSE																															3																1																																																										
chr1	1732835	1732835	1	+	GNB1	-	FALSE	FALSE																																																						1															44																		2																		
chr1	1764513	1764513	1	+	GNB1	-	FALSE	FALSE			2														2																				3																			40															3									3													1						466		5				
chr1	1786044	1786044	1	+	GNB1	-	FALSE	FALSE																								1																																																																																	
chr1	1813744	1813744	1	+	GNB1	-	FALSE	FALSE																																																																																										1															
chr1	1817351	1817351	1	-	GNB1	-	FALSE	FALSE																																																																														4																											
chr1	1817665	1817665	1	+	GNB1	-	FALSE	FALSE																								2																																																																																	
chr1	1818939	1818939	1	+	GNB1	-	FALSE	FALSE																								4																																																																																	
chr1	2166459	2166459	1	-	SKI	+	FALSE	FALSE																																																		3										12																														1															
chr1	2193432	2193432	1	-	SKI	+	FALSE	FALSE																																			19																																																																						
chr1	2195111	2195111	1	+	SKI	+	FALSE	FALSE																																																						3																																																			
